Probabilidad de Incumplimiento,Score Crediticio
0.0005,728
0.0,801
0.0,810
0.9998,405
0.0,850
0.0,850
1.0,359
0.0,790
0.0,776
0.0,773
0.0,848
0.0002,744
0.0002,742
0.0,850
0.0002,746
0.0002,745
0.0,778
0.0029,691
0.0006,722
0.9941,473
0.0004,733
0.0,777
1e-04,764
0.0004,730
0.9994,428
0.0011,710
0.0,802
0.0,837
0.0013,706
0.0002,746
0.0006,724
0.9673,507
0.0,794
0.0,812
0.0,791
0.0002,744
0.9987,442
0.0,823
0.0002,750
0.0003,738
0.0,804
0.9953,468
0.0293,645
0.0,804
0.0,829
0.007,674
1e-04,758
0.0,813
0.0,850
0.0,791
1e-04,763
0.0005,727
0.0007,720
0.9856,491
0.0022,697
0.9992,434
0.9953,468
0.0,797
0.0,813
0.9823,495
0.0035,688
0.0,850
1e-04,764
0.0,803
0.0,833
0.0,815
0.9974,457
0.0,809
0.0,850
0.001,713
0.0006,724
0.9928,477
0.8507,540
0.0012,709
0.0,850
0.0,824
0.0005,727
0.0004,729
0.0,810
1e-04,751
0.0,790
0.0005,726
0.0006,723
0.9999,385
0.0,817
0.9971,459
0.0,833
0.0,774
0.9774,500
0.9916,480
0.9995,425
0.0,782
0.0101,666
0.0016,703
0.0084,670
0.0002,749
0.0,844
0.0175,655
0.0,791
0.0,795
0.9947,471
0.0,844
0.0,850
0.3608,586
0.0,820
1e-04,755
0.0,786
0.0,846
0.0004,732
1e-04,756
0.0023,696
0.0,788
0.997,459
0.9909,482
0.0003,739
0.0,850
0.0,818
0.0003,738
0.9904,483
0.9858,490
0.3727,585
0.0004,731
0.0004,729
0.0,780
0.0013,707
0.0,820
0.0002,745
0.0,773
0.0,798
0.974,503
1e-04,760
0.0,850
0.001,713
0.0,850
0.0031,690
0.0,823
0.0,850
0.0003,739
0.0,788
0.0034,688
0.0,775
0.9888,486
0.0,778
0.0006,724
0.0,795
0.992,479
0.0083,670
0.0,792
0.0,850
0.9899,484
0.0,836
0.006,676
0.0,782
0.0,850
0.0004,731
0.0008,718
0.9947,471
0.0,779
0.0,850
0.0004,730
0.0009,715
0.0005,727
0.9688,506
0.0,839
0.0,850
0.0,775
0.9969,460
0.0003,737
1e-04,765
0.0004,729
0.9967,461
0.9998,403
1e-04,759
0.0,800
0.0004,730
0.0004,733
1e-04,767
0.0,786
0.0002,741
1e-04,758
0.0,850
0.0,815
0.0,850
1e-04,770
0.0,834
0.0006,723
0.9933,475
0.0,850
0.0,775
1e-04,770
0.9998,406
0.9907,482
0.9995,425
0.0,783
0.9974,457
0.9469,517
0.0,773
0.9992,433
1e-04,757
0.9965,462
0.0,832
0.0,850
0.0,825
0.0,803
0.0015,704
0.0,799
0.0,774
0.0002,741
0.0,823
0.0,821
0.0003,737
0.0,809
0.0,829
0.0,775
0.9909,481
0.003,690
0.8475,541
0.0,841
0.0002,748
0.1054,617
0.9979,452
0.0,812
0.9995,423
0.0,785
0.997,459
0.0002,744
0.9982,449
0.0,788
0.9922,478
0.0007,720
0.0,849
0.9967,461
0.997,460
0.0007,719
1e-04,756
0.0,776
1.0,364
0.0002,743
0.0087,669
0.9993,429
0.0,833
0.9986,444
0.0,850
0.0,817
1e-04,760
0.9984,446
0.0,847
1e-04,766
0.9882,487
0.9902,483
0.0,773
0.0,843
0.9871,488
0.0,850
0.0,788
0.9912,481
0.0,785
0.0,847
0.9997,414
0.0,850
0.5607,570
0.9968,461
0.0,838
0.0319,643
0.0,821
0.0,777
0.0018,701
0.0,850
0.0,850
0.0007,721
0.0,773
0.0,822
0.0075,672
1e-04,767
0.0,850
0.0,779
1e-04,757
0.0,850
0.0002,741
0.995,469
1e-04,767
0.0,800
0.0,790
0.0,850
0.0,798
0.0,792
1e-04,761
0.9898,484
0.0,775
0.9985,445
0.0,816
0.9977,454
0.0,808
0.0,808
0.0,850
0.0,808
1e-04,761
0.9983,448
1e-04,753
0.0052,679
1e-04,763
0.9977,454
1e-04,766
0.9961,464
0.0,850
0.0,783
0.0002,744
0.9938,474
0.0063,676
0.0,845
0.0005,725
0.9964,463
0.0,850
0.0,807
1e-04,759
0.9921,479
1e-04,756
0.9994,426
0.0,782
0.0,828
0.0004,732
0.9997,412
0.9997,410
0.0,850
0.0008,717
0.0,772
1e-04,751
1e-04,770
0.0014,706
0.0,850
1e-04,768
0.0,826
0.0002,743
0.9967,461
0.0002,747
0.0,837
0.0,816
0.9949,470
0.0,821
0.0005,728
0.9998,402
0.0016,703
0.0004,731
0.9981,451
0.0,800
0.0,781
0.0,850
0.0087,669
1e-04,769
1e-04,768
1e-04,771
0.0,825
0.0034,688
0.0,850
0.9919,479
0.0002,749
0.0007,720
0.0003,734
0.0002,748
0.0,798
1e-04,767
0.0,818
0.0,828
0.9997,416
0.0021,697
0.0002,749
0.0,794
0.0068,674
1e-04,769
0.9906,482
0.9994,426
0.0127,662
0.0002,746
0.0026,694
0.0,850
0.9993,431
0.9966,462
0.9998,403
0.0,826
0.1199,615
0.997,459
0.9987,442
1e-04,755
